User_ID,Session_ID,Event,Timestamp,Device,Region,Channel,Product_Category,Revenue,Bounce_Flag
USR00001,SES00001,Browse,2025-10-28 07:33:50,Desktop,West,Organic,Home,0.0,Yes
USR00001,SES00001,Add to Cart,2025-10-28 07:36:50,Tablet,East,Social Media,Beauty,0.0,Yes
USR00001,SES00001,Checkout,2025-10-28 07:40:50,Mobile,West,Email,Beauty,0.0,Yes
USR00002,SES00002,Browse,2025-10-19 09:15:10,Desktop,East,Email,Electronics,0.0,No
USR00002,SES00002,Add to Cart,2025-10-19 09:18:10,Mobile,West,Social Media,Fashion,0.0,No
USR00002,SES00002,Checkout,2025-10-19 09:23:10,Desktop,North,Social Media,Fashion,0.0,No
USR00002,SES00002,Purchase,2025-10-19 09:27:10,Mobile,North,Google Ads,Sports,448.18,No
USR00003,SES00003,Browse,2025-10-12 02:19:00,Desktop,East,Google Ads,Beauty,0.0,No
USR00003,SES00003,Add to Cart,2025-10-12 02:22:00,Tablet,South,Social Media,Beauty,0.0,No
USR00003,SES00003,Checkout,2025-10-12 02:26:00,Desktop,West,Google Ads,Sports,0.0,No
USR00003,SES00003,Purchase,2025-10-12 02:29:00,Mobile,North,Social Media,Beauty,1437.19,No
USR00004,SES00004,Browse,2025-10-05 17:55:48,Tablet,West,Social Media,Home,0.0,Yes
USR00005,SES00005,Browse,2025-10-19 12:35:49,Tablet,West,Google Ads,Electronics,0.0,Yes
USR00005,SES00005,Add to Cart,2025-10-19 12:37:49,Desktop,East,Google Ads,Electronics,0.0,Yes
USR00006,SES00006,Browse,2025-10-06 13:20:53,Tablet,North,Email,Beauty,0.0,Yes
USR00007,SES00007,Browse,2025-10-20 15:23:11,Mobile,South,Google Ads,Home,0.0,Yes
USR00008,SES00008,Browse,2025-10-13 12:59:29,Desktop,West,Google Ads,Beauty,0.0,No
USR00008,SES00008,Add to Cart,2025-10-13 13:02:29,Desktop,East,Email,Fashion,0.0,No
USR00008,SES00008,Checkout,2025-10-13 13:07:29,Tablet,West,Organic,Electronics,0.0,No
USR00008,SES00008,Purchase,2025-10-13 13:10:29,Desktop,East,Social Media,Home,304.3,No
USR00009,SES00009,Browse,2025-10-17 10:27:10,Tablet,South,Organic,Fashion,0.0,Yes
USR00009,SES00009,Add to Cart,2025-10-17 10:30:10,Mobile,West,Social Media,Electronics,0.0,Yes
USR00010,SES00010,Browse,2025-10-30 17:23:31,Desktop,West,Email,Sports,0.0,Yes
USR00011,SES00011,Browse,2025-10-23 13:33:44,Tablet,South,Social Media,Fashion,0.0,Yes
USR00011,SES00011,Add to Cart,2025-10-23 13:35:44,Tablet,South,Email,Beauty,0.0,Yes
USR00011,SES00011,Checkout,2025-10-23 13:39:44,Tablet,South,Email,Beauty,0.0,Yes
USR00012,SES00012,Browse,2025-10-30 17:47:53,Desktop,North,Social Media,Beauty,0.0,Yes
USR00012,SES00012,Add to Cart,2025-10-30 17:49:53,Tablet,West,Email,Beauty,0.0,Yes
USR00013,SES00013,Browse,2025-10-24 09:26:53,Tablet,East,Social Media,Sports,0.0,No
USR00013,SES00013,Add to Cart,2025-10-24 09:30:53,Desktop,East,Organic,Beauty,0.0,No
USR00013,SES00013,Checkout,2025-10-24 09:35:53,Desktop,East,Social Media,Sports,0.0,No
USR00013,SES00013,Purchase,2025-10-24 09:40:53,Desktop,South,Email,Home,912.3,No
USR00014,SES00014,Browse,2025-10-30 17:13:50,Tablet,South,Google Ads,Fashion,0.0,No
USR00014,SES00014,Add to Cart,2025-10-30 17:18:50,Desktop,West,Google Ads,Home,0.0,No
USR00014,SES00014,Checkout,2025-10-30 17:23:50,Desktop,North,Social Media,Home,0.0,No
USR00014,SES00014,Purchase,2025-10-30 17:25:50,Tablet,North,Social Media,Home,948.09,No
USR00015,SES00015,Browse,2025-10-13 22:58:27,Mobile,West,Google Ads,Beauty,0.0,No
USR00015,SES00015,Add to Cart,2025-10-13 23:02:27,Mobile,East,Social Media,Beauty,0.0,No
USR00015,SES00015,Checkout,2025-10-13 23:06:27,Desktop,East,Email,Sports,0.0,No
USR00015,SES00015,Purchase,2025-10-13 23:10:27,Mobile,East,Social Media,Electronics,313.31,No
USR00016,SES00016,Browse,2025-10-26 17:56:29,Mobile,East,Organic,Electronics,0.0,Yes
USR00016,SES00016,Add to Cart,2025-10-26 17:58:29,Desktop,South,Google Ads,Fashion,0.0,Yes
USR00016,SES00016,Checkout,2025-10-26 18:03:29,Desktop,West,Google Ads,Sports,0.0,Yes
USR00017,SES00017,Browse,2025-10-29 03:56:13,Desktop,West,Google Ads,Sports,0.0,Yes
USR00018,SES00018,Browse,2025-10-19 23:13:10,Mobile,East,Organic,Sports,0.0,Yes
USR00019,SES00019,Browse,2025-10-07 01:32:36,Mobile,West,Google Ads,Home,0.0,Yes
USR00020,SES00020,Browse,2025-10-27 12:48:22,Desktop,West,Email,Electronics,0.0,Yes
USR00021,SES00021,Browse,2025-10-08 22:04:33,Desktop,South,Social Media,Fashion,0.0,Yes
USR00022,SES00022,Browse,2025-10-12 05:27:26,Mobile,East,Google Ads,Sports,0.0,Yes
USR00022,SES00022,Add to Cart,2025-10-12 05:32:26,Mobile,East,Google Ads,Sports,0.0,Yes
USR00022,SES00022,Checkout,2025-10-12 05:35:26,Tablet,West,Social Media,Electronics,0.0,Yes
USR00023,SES00023,Browse,2025-10-28 11:26:29,Tablet,West,Google Ads,Electronics,0.0,Yes
USR00023,SES00023,Add to Cart,2025-10-28 11:28:29,Tablet,South,Google Ads,Sports,0.0,Yes
USR00024,SES00024,Browse,2025-10-08 17:10:15,Mobile,South,Organic,Home,0.0,Yes
USR00024,SES00024,Add to Cart,2025-10-08 17:12:15,Tablet,East,Organic,Home,0.0,Yes
USR00024,SES00024,Checkout,2025-10-08 17:14:15,Tablet,North,Social Media,Electronics,0.0,Yes
USR00025,SES00025,Browse,2025-10-11 21:31:06,Tablet,North,Google Ads,Sports,0.0,Yes
USR00025,SES00025,Add to Cart,2025-10-11 21:36:06,Tablet,North,Social Media,Beauty,0.0,Yes
USR00025,SES00025,Checkout,2025-10-11 21:40:06,Tablet,North,Social Media,Fashion,0.0,Yes
USR00026,SES00026,Browse,2025-10-28 01:31:26,Mobile,West,Google Ads,Fashion,0.0,No
USR00026,SES00026,Add to Cart,2025-10-28 01:34:26,Tablet,North,Organic,Home,0.0,No
